2.000000 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [S], seq 0, win 65535, options [TS val 2000 ecr 0,wscale 2,sackOK,eol], length 0
2.100185 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [S.], seq 0, ack 1, win 65535, options [TS val 2050 ecr 2000,wscale 2,sackOK,eol], length 0
2.100185 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], ack 1, win 32768, options [TS val 2100 ecr 2050,eol], length 0
3.008192 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 1:537, ack 1, win 32768, options [TS val 3008 ecr 2050,eol], length 536: HTTP
3.009136 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 537:1025, ack 1, win 32768, options [TS val 3008 ecr 2050,eol], length 488: HTTP
3.016383 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 1025:1561, ack 1, win 32768, options [TS val 3016 ecr 2050,eol], length 536: HTTP
3.017327 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 1561:2049, ack 1, win 32768, options [TS val 3016 ecr 2050,eol], length 488: HTTP
3.024575 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 2049:2585, ack 1, win 32768, options [TS val 3024 ecr 2050,eol], length 536: HTTP
3.025519 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 2585:3073, ack 1, win 32768, options [TS val 3024 ecr 2050,eol], length 488: HTTP
3.032767 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 3073:3609, ack 1, win 32768, options [TS val 3032 ecr 2050,eol], length 536: HTTP
3.033711 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 3609:4097, ack 1, win 32768, options [TS val 3032 ecr 2050,eol], length 488: HTTP
3.040959 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 4097:4633, ack 1, win 32768, options [TS val 3040 ecr 2050,eol], length 536: HTTP
3.041903 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 4633:5121, ack 1, win 32768, options [TS val 3040 ecr 2050,eol], length 488: HTTP
3.109222 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 537, win 32768, options [TS val 3059 ecr 3008,eol], length 0
3.109222 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 5121:5657, ack 1, win 32768, options [TS val 3109 ecr 3059,eol], length 536: HTTP
3.110166 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 5657:6193, ack 1, win 32768, options [TS val 3109 ecr 3059,eol], length 536: HTTP
3.117414 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 1561, win 32768, options [TS val 3067 ecr 3008,eol], length 0
3.117414 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 6193:6729, ack 1, win 32768, options [TS val 3117 ecr 3067,eol], length 536: HTTP
3.118358 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 6729:7265, ack 1, win 32768, options [TS val 3117 ecr 3067,eol], length 536: HTTP
3.119302 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 7265:7801, ack 1, win 32768, options [TS val 3117 ecr 3067,eol], length 536: HTTP
3.125606 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 2585, win 32768, options [TS val 3075 ecr 3016,eol], length 0
3.125606 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 7801:8337, ack 1, win 32768, options [TS val 3125 ecr 3075,eol], length 536: HTTP
