3.076387 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 2585:3073, ack 1, win 32768, options [TS val 3024 ecr 2050,eol], length 488: HTTP
3.083711 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 488:1024, ack 1, win 32768, options [TS val 3032 ecr 2050,eol], length 536: HTTP
3.092771 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 2048:2536, ack 1, win 32768, options [TS val 3040 ecr 2050,eol], length 488: HTTP
3.395033 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 10576:11112, ack 1, win 32768, options [TS val 3344 ecr 3294,eol], length 536: HTTP
3.887526 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 17544:18080, ack 1, win 32768, options [TS val 3834 ecr 3784,eol], length 536: HTTP
4.088655 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 19152:19688, ack 1, win 32768, options [TS val 4037 ecr 3987,eol], length 536: HTTP
5.203830 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 28800:29336, ack 1, win 32768, options [TS val 5152 ecr 5102,eol], length 536: HTTP
6.118793 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 41664:42200, ack 1, win 32768, options [TS val 6067 ecr 6017,eol], length 536: HTTP
6.831695 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 51312:51848, ack 1, win 32768, options [TS val 6779 ecr 6729,eol], length 536: HTTP
7.133868 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 54528:55064, ack 1, win 32768, options [TS val 7082 ecr 7032,eol], length 536: HTTP
7.641891 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 58280:58816, ack 1, win 32768, options [TS val 7590 ecr 7539,eol], length 536: HTTP
8.449987 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 64176:64712, ack 1, win 32768, options [TS val 8397 ecr 8347,eol], length 536: HTTP
8.753103 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 66856:67392, ack 1, win 32768, options [TS val 8702 ecr 8652,eol], length 536: HTTP
